"Locus"	"allele"	"count"	"frequency"
"Olur17"	"204"	1	0.005
"Olur17"	"208"	1	0.005
"Olur17"	"212"	1	0.005
"Olur17"	"216"	7	0.035
"Olur17"	"220"	4	0.02
"Olur17"	"224"	14	0.07
"Olur17"	"228"	6	0.03
"Olur17"	"232"	8	0.04
"Olur17"	"236"	13	0.065
"Olur17"	"240"	16	0.08
"Olur17"	"244"	20	0.1
"Olur17"	"248"	21	0.105
"Olur17"	"252"	17	0.085
"Olur17"	"256"	12	0.06
"Olur17"	"260"	8	0.04
"Olur17"	"264"	7	0.035
"Olur17"	"268"	4	0.02
"Olur17"	"272"	3	0.015
"Olur17"	"276"	1	0.005
"Olur17"	"284"	1	0.005
"Olur17"	"288"	2	0.01
"Olur18"	"156"	1	0.005
"Olur18"	"160"	28	0.14
"Olur18"	"164"	4	0.02
"Olur18"	"180"	1	0.005
"Olur18"	"208"	1	0.005
"Olur18"	"216"	2	0.01
"Olur18"	"220"	3	0.015
"Olur18"	"224"	1	0.005
"Olur18"	"228"	9	0.045
"Olur18"	"232"	11	0.055
"Olur18"	"236"	9	0.045
"Olur18"	"240"	19	0.095
"Olur18"	"244"	23	0.115
"Olur18"	"248"	17	0.085
"Olur18"	"252"	16	0.08
"Olur18"	"256"	15	0.075
"Olur18"	"260"	8	0.04
"Olur18"	"264"	7	0.035
"Olur18"	"268"	5	0.025
"Olur18"	"272"	4	0.02
"Olur18"	"276"	7	0.035
"Olur18"	"280"	2	0.01
"Olur18"	"288"	2	0.01
"Olur18"	"292"	1	0.005
"Olur18"	"296"	1	0.005
"Olur18"	"300"	2	0.01
"Olur18"	"316"	1	0.005
"Olur19"	"208"	19	0.095
"Olur19"	"212"	6	0.03
"Olur19"	"216"	11	0.055
"Olur19"	"220"	5	0.025
"Olur19"	"224"	7	0.035
"Olur19"	"228"	13	0.065
"Olur19"	"232"	13	0.065
"Olur19"	"236"	13	0.065
"Olur19"	"240"	8	0.04
"Olur19"	"244"	8	0.04
"Olur19"	"248"	5	0.025
"Olur19"	"252"	21	0.105
"Olur19"	"256"	16	0.08
"Olur19"	"260"	26	0.13
"Olur19"	"264"	10	0.05
"Olur19"	"268"	11	0.055
"Olur19"	"272"	5	0.025
"Olur19"	"276"	3	0.015
