"Locus"	"allele"	"count"	"frequency"
"Olur18"	"236"	17	0.102409638554217
"Olur18"	"240"	7	0.0421686746987952
"Olur18"	"244"	11	0.0662650602409639
"Olur18"	"248"	9	0.0542168674698795
"Olur18"	"252"	16	0.0963855421686747
"Olur18"	"256"	16	0.0963855421686747
"Olur18"	"260"	9	0.0542168674698795
"Olur18"	"264"	5	0.0301204819277108
"Olur18"	"268"	6	0.036144578313253
"Olur18"	"272"	3	0.0180722891566265
"Olur18"	"280"	2	0.0120481927710843
"Olur18"	"284"	1	0.00602409638554217
"Olur18"	"288"	2	0.0120481927710843
"Olur18"	"292"	1	0.00602409638554217
"Olur18"	"296"	1	0.00602409638554217
"Olur18"	"300"	1	0.00602409638554217
"Olur18"	"304"	4	0.0240963855421687
"Olur19"	"208"	3	0.0160427807486631
"Olur19"	"212"	5	0.0267379679144385
"Olur19"	"216"	8	0.0427807486631016
"Olur19"	"220"	11	0.0588235294117647
"Olur19"	"224"	3	0.0160427807486631
"Olur19"	"228"	10	0.053475935828877
"Olur19"	"232"	8	0.0427807486631016
"Olur19"	"236"	1	0.0053475935828877
"Olur19"	"240"	14	0.0748663101604278
"Olur19"	"244"	11	0.0588235294117647
"Olur19"	"248"	9	0.0481283422459893
"Olur19"	"252"	30	0.160427807486631
"Olur19"	"256"	26	0.13903743315508
"Olur19"	"260"	11	0.0588235294117647
"Olur19"	"264"	18	0.0962566844919786
"Olur19"	"268"	12	0.0641711229946524
"Olur19"	"272"	3	0.0160427807486631
"Olur19"	"276"	2	0.0106951871657754
"Olur19"	"280"	1	0.0053475935828877
"Olur19"	"284"	1	0.0053475935828877
